GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.example.bank_system,BankAccount,0,57,0,6,0,16,0,8,0,5
,com.example.bank_system,BankRepository,0,22,0,0,0,5,0,3,0,3
,com.example.bank_system,BankService,0,52,0,0,0,17,0,5,0,5
